learnerID,sitesVisited,step,pr(rr),pr(fr),pr(sr),randomNumber,nodeRecommendationID
1,4,3,0.238,0.877,0.163,0.117004,0
2,8,4,0.201,0.881,0.16,0.260895,0
2,8,5,0.201,0.881,0.16,0.546906,1
2,8,7,0.201,0.881,0.16,0.701141,2
3,10,9,0.215,0.875,0.15,0.145569,0
4,13,2,0.229,0.865,0.154,0.256744,0
4,13,4,0.229,0.865,0.154,0.446136,1
4,13,8,0.229,0.865,0.154,0.827942,2
5,9,2,0.22,0.871,0.172,0.833099,0
5,9,4,0.22,0.871,0.172,0.937378,1
5,9,5,0.22,0.871,0.172,0.054779,2
5,9,6,0.22,0.871,0.172,0.206207,3
6,19,2,0.22,0.863,0.181,0.78714,0
6,19,17,0.22,0.863,0.181,0.784302,3
7,8,4,0.209,0.866,0.153,0.307556,3
7,8,5,0.209,0.866,0.153,0.000946,5
8,10,3,0.223,0.887,0.165,0.200043,3
8,10,9,0.223,0.887,0.165,0.027435,5
9,13,2,0.199,0.871,0.156,0.039825,3
12,19,1,0.221,0.877,0.142,0.240143,3
12,19,17,0.221,0.877,0.142,0.396393,5
13,8,2,0.232,0.87,0.181,0.859253,3
13,8,3,0.232,0.87,0.181,0.29184,5
14,7,1,0.219,0.871,0.161,0.002655,3
14,7,2,0.219,0.871,0.161,0.750275,5
14,7,4,0.219,0.871,0.161,0.649933,8
15,15,8,0.218,0.879,0.17,0.03772,3
15,15,11,0.218,0.879,0.17,0.102539,5
16,8,0,0.201,0.854,0.167,0.229279,3
17,16,3,0.22,0.885,0.159,0.065887,3
17,16,4,0.22,0.885,0.159,0.261993,5
17,16,7,0.22,0.885,0.159,0.65097,8
17,16,8,0.22,0.885,0.159,0.555756,0
18,10,1,0.213,0.871,0.173,0.234344,8
18,10,3,0.213,0.871,0.173,0.846954,5
18,10,9,0.213,0.871,0.173,0.289124,7
19,5,1,0.203,0.874,0.147,0.108368,7
19,5,2,0.203,0.874,0.147,0.111237,1
19,5,3,0.203,0.874,0.147,0.348358,9
20,16,0,0.203,0.875,0.159,0.850708,7
20,16,1,0.203,0.875,0.159,0.393707,5
20,16,2,0.203,0.875,0.159,0.884888,8
20,16,3,0.203,0.875,0.159,0.968933,2
20,16,5,0.203,0.875,0.159,0.018768,0
20,16,9,0.203,0.875,0.159,0.725891,3
20,16,10,0.203,0.875,0.159,0.183411,9
20,16,11,0.203,0.875,0.159,0.095184,6
21,6,5,0.224,0.868,0.161,0.316162,5
22,11,2,0.213,0.886,0.179,0.262878,5
22,11,8,0.213,0.886,0.179,0.600403,8
22,11,9,0.213,0.886,0.179,0.436584,2
24,12,4,0.204,0.882,0.181,0.019135,5
25,15,8,0.222,0.878,0.162,0.239502,5
26,20,4,0.21,0.877,0.164,0.600616,5
26,20,7,0.21,0.877,0.164,0.113159,8
26,20,13,0.21,0.877,0.164,0.890808,2
26,20,14,0.21,0.877,0.164,0.519409,0
27,10,6,0.197,0.884,0.171,0.468384,5
28,20,1,0.222,0.858,0.156,0.776886,5
28,20,2,0.222,0.858,0.156,0.693512,8
28,20,5,0.222,0.858,0.156,0.336609,0
28,20,11,0.222,0.858,0.156,0.427399,7
28,20,16,0.222,0.858,0.156,0.561188,3
28,20,19,0.222,0.858,0.156,0.475128,2
29,20,4,0.225,0.848,0.187,0.666992,5
29,20,8,0.225,0.848,0.187,0.329742,8
29,20,11,0.225,0.848,0.187,0.906006,0
29,20,12,0.225,0.848,0.187,0.97525,7
29,20,14,0.225,0.848,0.187,0.714233,3
29,20,16,0.225,0.848,0.187,0.7883,2
29,20,17,0.225,0.848,0.187,0.614594,1
29,20,19,0.225,0.848,0.187,0.666748,6
30,13,6,0.214,0.883,0.167,0.430359,5
30,13,7,0.214,0.883,0.167,0.20932,7
30,13,11,0.214,0.883,0.167,0.487549,6
31,10,8,0.21,0.878,0.158,0.660553,5
32,15,0,0.224,0.892,0.171,0.356293,5
32,15,7,0.224,0.892,0.171,0.055786,7
32,15,8,0.224,0.892,0.171,0.664825,6
32,15,11,0.224,0.892,0.171,0.022095,9
33,22,0,0.215,0.885,0.181,0.858826,4
33,22,1,0.215,0.885,0.181,0.716675,9
33,22,9,0.215,0.885,0.181,0.268036,6
33,22,10,0.215,0.885,0.181,0.552246,8
33,22,11,0.215,0.885,0.181,0.879822,5
33,22,13,0.215,0.885,0.181,0.056641,7
33,22,16,0.215,0.885,0.181,0.615417,0
33,22,19,0.215,0.885,0.181,0.168915,1
34,3,0,0.204,0.891,0.151,0.921783,4
35,23,0,0.211,0.883,0.171,0.502991,4
35,23,2,0.211,0.883,0.171,0.377441,9
35,23,16,0.211,0.883,0.171,0.489746,6
36,19,6,0.226,0.864,0.15,0.231323,4
36,19,14,0.226,0.864,0.15,0.434448,9
36,19,15,0.226,0.864,0.15,0.240082,6
36,19,17,0.226,0.864,0.15,0.029053,0
37,9,1,0.204,0.862,0.175,0.665924,4
38,27,0,0.186,0.87,0.168,0.077484,4
38,27,10,0.186,0.87,0.168,0.196594,9
38,27,12,0.186,0.87,0.168,0.857574,6
38,27,15,0.186,0.87,0.168,0.584595,0
38,27,18,0.186,0.87,0.168,0.803619,7
38,27,19,0.186,0.87,0.168,0.250275,1
40,16,1,0.217,0.889,0.162,0.718811,4
40,16,9,0.217,0.889,0.162,0.101379,9
40,16,15,0.217,0.889,0.162,0.01004,6
41,17,0,0.222,0.866,0.147,0.097961,4
41,17,2,0.222,0.866,0.147,0.482117,9
41,17,8,0.222,0.866,0.147,0.76358,6
41,17,11,0.222,0.866,0.147,0.024536,0
41,17,14,0.222,0.866,0.147,0.871857,7
42,3,1,0.208,0.883,0.156,0.523743,4
43,19,8,0.208,0.866,0.186,0.905579,4
43,19,12,0.208,0.866,0.186,0.908905,9
43,19,17,0.208,0.866,0.186,0.638336,6
43,19,18,0.208,0.866,0.186,0.644989,0
44,18,5,0.229,0.874,0.148,0.749908,9
44,18,6,0.229,0.874,0.148,0.445496,7
45,23,10,0.212,0.857,0.18,0.522583,9
46,15,3,0.215,0.874,0.166,0.557281,9
46,15,6,0.215,0.874,0.166,0.508392,7
48,11,2,0.235,0.876,0.14,0.725983,9
48,11,3,0.235,0.876,0.14,0.434692,7
49,29,3,0.196,0.879,0.164,0.82019,9
49,29,13,0.196,0.879,0.164,0.67868,7
49,29,22,0.196,0.879,0.164,0.461792,5
49,29,27,0.196,0.879,0.164,0.916321,8
50,11,0,0.227,0.872,0.161,0.128723,5
50,11,6,0.227,0.872,0.161,0.345795,8
52,16,1,0.214,0.861,0.158,0.074646,5
52,16,8,0.214,0.861,0.158,0.628174,8
52,16,13,0.214,0.861,0.158,0.759674,0
52,16,14,0.214,0.861,0.158,0.913727,2
53,21,4,0.213,0.877,0.152,0.400726,8
53,21,9,0.213,0.877,0.152,0.052765,5
53,21,12,0.213,0.877,0.152,0.698853,0
53,21,19,0.213,0.877,0.152,0.577545,2
54,20,8,0.213,0.88,0.162,0.531158,0
54,20,11,0.213,0.88,0.162,0.674133,8
55,20,1,0.214,0.885,0.152,0.250305,0
55,20,3,0.214,0.885,0.152,0.975311,5
55,20,4,0.214,0.885,0.152,0.001556,8
56,12,1,0.225,0.878,0.157,0.419281,5
56,12,3,0.225,0.878,0.157,0.976044,8
57,27,4,0.2,0.865,0.169,0.844666,5
57,27,5,0.2,0.865,0.169,0.754883,8
57,27,12,0.2,0.865,0.169,0.795746,0
