learnerID,sitesVisited,step,pr(rr),pr(fr),pr(sr),rr,fr,sr,rating,ratingCode
1,4,0,0.238,0.877,0.163,0.100006104,0.265228271,0.194396973,N/A,No Rating Submission
1,4,1,0.238,0.877,0.163,0.753387451,N/A,N/A,N/A,No Recommendation Request
1,4,2,0.238,0.877,0.163,0.2550354,N/A,N/A,N/A,No Recommendation Request
1,4,3,0.238,0.877,0.163,0.806335449,N/A,N/A,N/A,No Recommendation Request
2,8,0,0.201,0.881,0.16,0.518920898,N/A,N/A,N/A,No Recommendation Request
2,8,1,0.201,0.881,0.16,0.983886719,N/A,N/A,N/A,No Recommendation Request
2,8,2,0.201,0.881,0.16,0.416564941,N/A,N/A,N/A,No Recommendation Request
2,8,3,0.201,0.881,0.16,0.709197998,N/A,N/A,N/A,No Recommendation Request
2,8,4,0.201,0.881,0.16,0.396697998,N/A,N/A,N/A,No Recommendation Request
2,8,5,0.201,0.881,0.16,0.49331665,N/A,N/A,N/A,No Recommendation Request
2,8,6,0.201,0.881,0.16,0.970092773,N/A,N/A,N/A,No Recommendation Request
2,8,7,0.201,0.881,0.16,0.546539307,N/A,N/A,N/A,No Recommendation Request
3,10,0,0.215,0.875,0.15,0.587188721,N/A,N/A,N/A,No Recommendation Request
3,10,1,0.215,0.875,0.15,0.00982666,0.995574951,N/A,N/A,No Recommendation Follow
3,10,2,0.215,0.875,0.15,0.370513916,N/A,N/A,N/A,No Recommendation Request
3,10,3,0.215,0.875,0.15,0.684539795,N/A,N/A,N/A,No Recommendation Request
3,10,4,0.215,0.875,0.15,0.213226318,0.090667725,0.234313965,N/A,No Rating Submission
3,10,5,0.215,0.875,0.15,0.111572266,0.952453613,N/A,N/A,No Recommendation Follow
3,10,6,0.215,0.875,0.15,0.071228027,0.33380127,0.751586914,N/A,No Rating Submission
3,10,7,0.215,0.875,0.15,0.230438232,N/A,N/A,N/A,No Recommendation Request
3,10,8,0.215,0.875,0.15,0.977081299,N/A,N/A,N/A,No Recommendation Request
3,10,9,0.215,0.875,0.15,0.078674316,0.725494385,0.143066406,0,
4,13,0,0.229,0.865,0.154,0.105865479,0.62008667,0.750793457,N/A,No Rating Submission
4,13,1,0.229,0.865,0.154,0.247711182,N/A,N/A,N/A,No Recommendation Request
4,13,2,0.229,0.865,0.154,0.988830566,N/A,N/A,N/A,No Recommendation Request
4,13,3,0.229,0.865,0.154,0.657745361,N/A,N/A,N/A,No Recommendation Request
4,13,4,0.229,0.865,0.154,0.951263428,N/A,N/A,N/A,No Recommendation Request
4,13,5,0.229,0.865,0.154,0.406066895,N/A,N/A,N/A,No Recommendation Request
4,13,6,0.229,0.865,0.154,0.894989014,N/A,N/A,N/A,No Recommendation Request
4,13,7,0.229,0.865,0.154,0.546600342,N/A,N/A,N/A,No Recommendation Request
4,13,8,0.229,0.865,0.154,0.773742676,N/A,N/A,N/A,No Recommendation Request
4,13,9,0.229,0.865,0.154,0.295043945,N/A,N/A,N/A,No Recommendation Request
4,13,10,0.229,0.865,0.154,0.6590271,N/A,N/A,N/A,No Recommendation Request
4,13,11,0.229,0.865,0.154,0.839202881,N/A,N/A,N/A,No Recommendation Request
4,13,12,0.229,0.865,0.154,0.058441162,0.545166016,0.047058105,3,
5,9,0,0.22,0.871,0.172,0.857666016,N/A,N/A,N/A,No Recommendation Request
5,9,1,0.22,0.871,0.172,0.061889648,0.873657227,N/A,N/A,No Recommendation Follow
5,9,2,0.22,0.871,0.172,0.78012085,N/A,N/A,N/A,No Recommendation Request
5,9,3,0.22,0.871,0.172,0.453491211,N/A,N/A,N/A,No Recommendation Request
5,9,4,0.22,0.871,0.172,0.808807373,N/A,N/A,N/A,No Recommendation Request
5,9,5,0.22,0.871,0.172,0.772766113,N/A,N/A,N/A,No Recommendation Request
5,9,6,0.22,0.871,0.172,0.959259033,N/A,N/A,N/A,No Recommendation Request
5,9,7,0.22,0.871,0.172,0.381500244,N/A,N/A,N/A,No Recommendation Request
5,9,8,0.22,0.871,0.172,0.424499512,N/A,N/A,N/A,No Recommendation Request
6,19,0,0.22,0.863,0.181,0.085083008,0.25668335,0.657501221,N/A,No Rating Submission
6,19,1,0.22,0.863,0.181,0.749481201,N/A,N/A,N/A,No Recommendation Request
6,19,2,0.22,0.863,0.181,0.160003662,0.552581787,0.703430176,N/A,No Rating Submission
6,19,3,0.22,0.863,0.181,0.800018311,N/A,N/A,N/A,No Recommendation Request
6,19,4,0.22,0.863,0.181,0.015899658,0.788635254,0.791656494,N/A,No Rating Submission
6,19,5,0.22,0.863,0.181,0.076873779,0.051574707,0.03894043,0,
6,19,6,0.22,0.863,0.181,0.097808838,0.410919189,0.196258545,N/A,No Rating Submission
6,19,7,0.22,0.863,0.181,0.923065186,N/A,N/A,N/A,No Recommendation Request
6,19,8,0.22,0.863,0.181,0.420257568,N/A,N/A,N/A,No Recommendation Request
6,19,9,0.22,0.863,0.181,0.260314941,N/A,N/A,N/A,No Recommendation Request
6,19,10,0.22,0.863,0.181,0.181945801,0.360473633,0.627471924,N/A,No Rating Submission
6,19,11,0.22,0.863,0.181,0.33392334,N/A,N/A,N/A,No Recommendation Request
6,19,12,0.22,0.863,0.181,0.570098877,N/A,N/A,N/A,No Recommendation Request
6,19,13,0.22,0.863,0.181,0.687683105,N/A,N/A,N/A,No Recommendation Request
6,19,14,0.22,0.863,0.181,0.199127197,0.031280518,0.507141113,N/A,No Rating Submission
6,19,15,0.22,0.863,0.181,0.622650146,N/A,N/A,N/A,No Recommendation Request
6,19,16,0.22,0.863,0.181,0.701049805,N/A,N/A,N/A,No Recommendation Request
6,19,17,0.22,0.863,0.181,0.328948975,N/A,N/A,N/A,No Recommendation Request
6,19,18,0.22,0.863,0.181,0.884338379,N/A,N/A,N/A,No Recommendation Request
7,8,0,0.209,0.866,0.153,0.735687256,N/A,N/A,N/A,No Recommendation Request
