learnerID,sitesVisited,step,pr(rr),pr(fr),pr(sr),randomNumber
1,4,0,0.238,0.877,0.163,0.100006
1,4,0,0.238,0.877,0.163,0.265228
1,4,0,0.238,0.877,0.163,0.194397
1,4,1,0.238,0.877,0.163,0.753387
1,4,2,0.238,0.877,0.163,0.255035
1,4,3,0.238,0.877,0.163,0.806335
2,8,0,0.201,0.881,0.16,0.518921
2,8,1,0.201,0.881,0.16,0.983887
2,8,2,0.201,0.881,0.16,0.416565
2,8,3,0.201,0.881,0.16,0.709198
2,8,4,0.201,0.881,0.16,0.396698
2,8,5,0.201,0.881,0.16,0.493317
2,8,6,0.201,0.881,0.16,0.970093
2,8,7,0.201,0.881,0.16,0.546539
3,10,0,0.215,0.875,0.15,0.587189
3,10,1,0.215,0.875,0.15,0.009827
3,10,1,0.215,0.875,0.15,0.995575
3,10,2,0.215,0.875,0.15,0.370514
3,10,3,0.215,0.875,0.15,0.68454
3,10,4,0.215,0.875,0.15,0.213226
3,10,4,0.215,0.875,0.15,0.090668
3,10,4,0.215,0.875,0.15,0.234314
3,10,5,0.215,0.875,0.15,0.111572
3,10,5,0.215,0.875,0.15,0.952454
3,10,6,0.215,0.875,0.15,0.071228
3,10,6,0.215,0.875,0.15,0.333801
3,10,6,0.215,0.875,0.15,0.751587
3,10,7,0.215,0.875,0.15,0.230438
3,10,8,0.215,0.875,0.15,0.977081
3,10,9,0.215,0.875,0.15,0.078674
3,10,9,0.215,0.875,0.15,0.725494
3,10,9,0.215,0.875,0.15,0.143066
3,10,9,0.215,0.875,0.15,0.044464
4,13,0,0.229,0.865,0.154,0.105865
4,13,0,0.229,0.865,0.154,0.620087
4,13,0,0.229,0.865,0.154,0.750793
4,13,1,0.229,0.865,0.154,0.247711
4,13,2,0.229,0.865,0.154,0.988831
4,13,3,0.229,0.865,0.154,0.657745
4,13,4,0.229,0.865,0.154,0.951263
4,13,5,0.229,0.865,0.154,0.406067
4,13,6,0.229,0.865,0.154,0.894989
4,13,7,0.229,0.865,0.154,0.5466
4,13,8,0.229,0.865,0.154,0.773743
4,13,9,0.229,0.865,0.154,0.295044
4,13,10,0.229,0.865,0.154,0.659027
