learnerID,sitesVisited,step,node,pr(rr),pr(fr),pr(sr),rr,fr,sr,ratingValue,nodeValue
1,4,3,0,0.238,0.877,0.163,0.040588379,0.604064941,0.13458252,4,0.733096013
1,4,3,1,0.238,0.877,0.163,0.040588379,0.604064941,0.13458252,4,0.67805068
1,4,3,2,0.238,0.877,0.163,0.040588379,0.604064941,0.13458252,4,0.718754742
1,4,3,3,0.238,0.877,0.163,0.040588379,0.604064941,0.13458252,4,0.648777707
1,4,3,4,0.238,0.877,0.163,0.040588379,0.604064941,0.13458252,4,0.710229501
1,4,3,5,0.238,0.877,0.163,0.040588379,0.604064941,0.13458252,4,0.510798967
1,4,3,6,0.238,0.877,0.163,0.040588379,0.604064941,0.13458252,4,0.502962585
1,4,3,7,0.238,0.877,0.163,0.040588379,0.604064941,0.13458252,4,0.593355397
1,4,3,8,0.238,0.877,0.163,0.040588379,0.604064941,0.13458252,4,0.703510139
1,4,3,9,0.238,0.877,0.163,0.040588379,0.604064941,0.13458252,4,0.674535187
6,19,7,0,0.22,0.863,0.181,0.028045654,0.28338623,0.084655762,2,0.616548006
6,19,7,1,0.22,0.863,0.181,0.028045654,0.28338623,0.084655762,2,0.58902534
6,19,7,2,0.22,0.863,0.181,0.028045654,0.28338623,0.084655762,2,0.609377371
6,19,7,3,0.22,0.863,0.181,0.028045654,0.28338623,0.084655762,2,0.574388854
6,19,7,4,0.22,0.863,0.181,0.028045654,0.28338623,0.084655762,2,0.60511475
6,19,7,5,0.22,0.863,0.181,0.028045654,0.28338623,0.084655762,2,0.505399484
6,19,7,6,0.22,0.863,0.181,0.028045654,0.28338623,0.084655762,2,0.501481293
6,19,7,7,0.22,0.863,0.181,0.028045654,0.28338623,0.084655762,2,0.546677699
6,19,7,8,0.22,0.863,0.181,0.028045654,0.28338623,0.084655762,2,0.60175507
6,19,7,9,0.22,0.863,0.181,0.028045654,0.28338623,0.084655762,2,0.587267594
28,20,1,0,0.222,0.858,0.156,0.187316895,0.49407959,0.102600098,2,0.558274003
28,20,1,1,0.222,0.858,0.156,0.187316895,0.49407959,0.102600098,2,0.54451267
28,20,1,2,0.222,0.858,0.156,0.187316895,0.49407959,0.102600098,2,0.554688685
28,20,1,3,0.222,0.858,0.156,0.187316895,0.49407959,0.102600098,2,0.537194427
28,20,1,4,0.222,0.858,0.156,0.187316895,0.49407959,0.102600098,2,0.552557375
28,20,1,5,0.222,0.858,0.156,0.187316895,0.49407959,0.102600098,2,0.502699742
28,20,1,6,0.222,0.858,0.156,0.187316895,0.49407959,0.102600098,2,0.500740646
28,20,1,7,0.222,0.858,0.156,0.187316895,0.49407959,0.102600098,2,0.523338849
28,20,1,8,0.222,0.858,0.156,0.187316895,0.49407959,0.102600098,2,0.550877535
28,20,1,9,0.222,0.858,0.156,0.187316895,0.49407959,0.102600098,2,0.543633797
33,22,11,0,0.215,0.885,0.181,0.034942627,0.091461182,0.04397583,2,0.529137002
